category,size,sample,compile_time_sec,max_rss_kb,exit_code
graded,8,2,0.26,61276,0
graded,8,3,0.28,61352,0
graded,8,4,0.27,61200,0
graded,8,5,0.26,61344,0
graded,8,6,0.25,60372,0
graded,8,7,0.26,61108,0
graded,8,8,0.26,61176,0
graded,8,9,0.25,60316,0
hamiltonian,10,0,0.55,92240,0
hamiltonian,10,1,0.54,93968,0
hamiltonian,10,2,0.52,92624,0
hamiltonian,10,3,0.52,92364,0
hamiltonian,10,4,0.54,93392,0
hamiltonian,10,5,0.53,93008,0
hamiltonian,10,6,0.53,91932,0
hamiltonian,10,7,0.57,93900,0
hamiltonian,10,8,0.62,96560,0
hamiltonian,10,9,0.52,92304,0
hamiltonian,12,0,1.05,149336,0
hamiltonian,12,1,1.02,148564,0
hamiltonian,12,2,1.01,149484,0
hamiltonian,12,3,0.98,146624,0
hamiltonian,12,4,1.01,147688,0
hamiltonian,12,5,1.06,151588,0
hamiltonian,12,6,1.03,149264,0
hamiltonian,12,7,1.09,155084,0
hamiltonian,12,8,1.02,150088,0
hamiltonian,12,9,1.01,149200,0
hamiltonian,14,0,1.87,250196,0
hamiltonian,14,1,1.85,244496,0
hamiltonian,14,2,1.77,240012,0
hamiltonian,14,3,1.76,239576,0
hamiltonian,14,4,1.78,240740,0
hamiltonian,14,5,1.78,238268,0
hamiltonian,14,6,1.80,239440,0
hamiltonian,14,7,1.78,239688,0
hamiltonian,14,8,1.89,244184,0
hamiltonian,14,9,1.87,250576,0
hamiltonian,16,0,6.97,840136,1
hamiltonian,16,1,7.00,840384,1
hamiltonian,16,2,7.01,840288,1
hamiltonian,16,3,7.01,840396,1
hamiltonian,16,4,7.04,840196,1
hamiltonian,16,5,7.00,840372,1
hamiltonian,16,6,6.97,840232,1
hamiltonian,16,7,6.98,840384,1
hamiltonian,16,8,7.04,840200,1
hamiltonian,16,9,7.04,840340,1
hamiltonian,18,0,7.24,839628,1
hamiltonian,18,1,7.04,839496,1
hamiltonian,18,2,7.26,839632,1
hamiltonian,18,3,7.31,839624,1
hamiltonian,18,4,7.26,839456,1
hamiltonian,18,5,7.12,839424,1
hamiltonian,18,6,7.31,839300,1
hamiltonian,18,7,7.10,839456,1
hamiltonian,18,8,7.14,839600,1
hamiltonian,18,9,7.18,839500,1
hamiltonian,20,0,7.29,834376,1
hamiltonian,20,1,7.53,834380,1
hamiltonian,20,2,7.32,834124,1
hamiltonian,20,3,7.20,834248,1
hamiltonian,20,4,7.21,834384,1
hamiltonian,20,5,7.10,834308,1
hamiltonian,20,6,7.26,834080,1
hamiltonian,20,7,7.38,834168,1
hamiltonian,20,8,7.15,834168,1
hamiltonian,20,9,7.19,834308,1
hamiltonian,2,0,0.04,35868,0
hamiltonian,2,1,0.04,35880,0
hamiltonian,2,2,0.04,35916,0
hamiltonian,2,3,0.05,35856,0
hamiltonian,2,4,0.05,35924,0
hamiltonian,2,5,0.05,35876,0
hamiltonian,2,6,0.05,35824,0
hamiltonian,2,7,0.05,35876,0
hamiltonian,2,8,0.04,35880,0
hamiltonian,2,9,0.05,35824,0
hamiltonian,4,0,0.07,38996,0
hamiltonian,4,1,0.09,41432,0
hamiltonian,4,2,0.07,38852,0
hamiltonian,4,3,0.07,38928,0
hamiltonian,4,4,0.07,39344,0
hamiltonian,4,5,0.07,39052,0
hamiltonian,4,6,0.07,38832,0
hamiltonian,4,7,0.07,38872,0
hamiltonian,4,8,0.07,38928,0
hamiltonian,4,9,0.07,39104,0
hamiltonian,6,0,0.12,45712,0
hamiltonian,6,1,0.12,45604,0
hamiltonian,6,2,0.13,45776,0
hamiltonian,6,3,0.13,45484,0
hamiltonian,6,4,0.12,45620,0
hamiltonian,6,5,0.12,45376,0
hamiltonian,6,6,0.14,47464,0
hamiltonian,6,7,0.12,45928,0
hamiltonian,6,8,0.13,46808,0
hamiltonian,6,9,0.12,46020,0
hamiltonian,8,0,0.26,61456,0
hamiltonian,8,1,0.25,60916,0
hamiltonian,8,2,0.25,60812,0
hamiltonian,8,3,0.25,61012,0
hamiltonian,8,4,0.27,61072,0
hamiltonian,8,5,0.26,61700,0
hamiltonian,8,6,0.27,62004,0
hamiltonian,8,7,0.27,62384,0
hamiltonian,8,8,0.27,62544,0
hamiltonian,8,9,0.27,60392,0
large_jordan,10,0,0.47,82828,0
large_jordan,10,1,0.45,82864,0
large_jordan,10,2,0.45,82868,0
large_jordan,10,3,0.47,82844,0
large_jordan,10,4,0.47,82608,0
large_jordan,10,5,0.46,82856,0
large_jordan,10,6,0.45,82832,0
large_jordan,10,7,0.45,82832,0
large_jordan,10,8,0.45,82856,0
large_jordan,10,9,0.44,82832,0
large_jordan,12,0,0.88,133032,0
large_jordan,12,1,0.88,133072,0
large_jordan,12,2,0.90,132956,0
large_jordan,12,3,0.85,133076,0
large_jordan,12,4,0.87,133068,0
large_jordan,12,5,0.87,133008,0
large_jordan,12,6,0.91,132944,0
large_jordan,12,7,0.89,133076,0
large_jordan,12,8,0.87,133060,0
large_jordan,12,9,0.86,133072,0
large_jordan,14,0,1.61,216868,0
large_jordan,14,1,1.57,216844,0
large_jordan,14,2,1.61,216824,0
