# family: gcc
# compiler: c++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
category,size,sample,compile_time_sec,max_rss_kb,exit_code
large_jordan,8,5,0.13,47164,0
large_jordan,8,6,0.14,47116,0
large_jordan,8,7,0.13,47108,0
large_jordan,8,8,0.14,47136,0
large_jordan,8,9,0.14,47132,0
nearly_defective,10,0,0.34,71596,0
nearly_defective,10,1,0.36,72404,0
nearly_defective,10,2,0.35,73244,0
nearly_defective,10,3,0.34,72208,0
nearly_defective,10,4,0.41,77520,0
nearly_defective,10,5,0.41,79756,0
nearly_defective,10,6,0.32,69156,0
nearly_defective,10,7,0.40,78220,0
nearly_defective,10,8,0.38,74920,0
nearly_defective,10,9,0.37,74352,0
nearly_defective,12,0,0.63,105028,0
nearly_defective,12,1,0.64,105424,0
nearly_defective,12,2,0.63,105032,0
nearly_defective,12,3,0.70,112740,0
nearly_defective,12,4,0.65,106640,0
nearly_defective,12,5,0.64,107408,0
nearly_defective,12,6,0.64,106088,0
nearly_defective,12,7,0.60,102480,0
nearly_defective,12,8,0.67,111236,0
nearly_defective,12,9,0.62,104220,0
nearly_defective,14,0,1.01,150988,0
nearly_defective,14,1,0.99,150248,0
nearly_defective,14,2,1.12,163672,0
nearly_defective,14,3,1.05,153640,0
nearly_defective,14,4,1.14,157324,0
nearly_defective,14,5,1.05,155048,0
nearly_defective,14,6,1.00,149188,0
nearly_defective,14,7,0.98,149044,0
nearly_defective,14,8,1.12,161996,0
nearly_defective,14,9,1.17,164564,0
nearly_defective,16,0,1.66,227776,0
nearly_defective,16,1,1.72,235316,0
nearly_defective,16,2,1.76,239912,0
nearly_defective,16,3,1.79,242600,0
nearly_defective,16,4,1.60,223812,0
nearly_defective,16,5,1.70,232280,0
nearly_defective,16,6,1.81,246856,0
nearly_defective,16,7,1.63,226376,0
nearly_defective,16,8,1.65,228436,0
nearly_defective,16,9,1.75,239508,0
nearly_defective,18,0,2.70,351432,0
nearly_defective,18,1,2.59,339228,0
nearly_defective,18,2,2.55,335248,0
nearly_defective,18,3,2.56,334036,0
nearly_defective,18,4,2.75,353748,0
nearly_defective,18,5,2.57,335704,0
nearly_defective,18,6,2.64,341068,0
nearly_defective,18,7,2.69,350260,0
nearly_defective,18,8,2.58,336784,0
nearly_defective,18,9,2.66,342812,0
nearly_defective,20,0,3.83,487440,0
nearly_defective,20,1,3.99,502824,0
nearly_defective,20,2,4.14,509480,0
nearly_defective,20,3,3.96,493780,0
nearly_defective,20,4,4.03,508468,0
nearly_defective,20,5,3.96,500420,0
nearly_defective,20,6,3.79,483980,0
nearly_defective,20,7,4.14,516264,0
nearly_defective,20,8,4.08,512712,0
nearly_defective,20,9,3.83,488100,0
nearly_defective,2,0,0.04,36008,0
nearly_defective,2,1,0.05,35992,0
nearly_defective,2,2,0.04,36072,0
nearly_defective,2,3,0.04,36044,0
nearly_defective,2,4,0.05,35984,0
nearly_defective,2,5,0.04,36052,0
nearly_defective,2,6,0.05,36008,0
nearly_defective,2,7,0.05,35920,0
nearly_defective,2,8,0.05,36008,0
nearly_defective,2,9,0.05,36016,0
nearly_defective,4,0,0.08,39980,0
nearly_defective,4,1,0.09,40540,0
nearly_defective,4,2,0.09,41560,0
nearly_defective,4,3,0.08,39856,0
nearly_defective,4,4,0.07,39628,0
nearly_defective,4,5,0.07,39684,0
nearly_defective,4,6,0.07,39496,0
nearly_defective,4,7,0.08,40012,0
nearly_defective,4,8,0.08,39720,0
nearly_defective,4,9,0.08,40176,0
nearly_defective,6,0,0.11,44492,0
nearly_defective,6,1,0.11,44048,0
nearly_defective,6,2,0.13,46932,0
nearly_defective,6,3,0.12,44980,0
nearly_defective,6,4,0.10,43532,0
nearly_defective,6,5,0.11,44072,0
nearly_defective,6,6,0.12,44012,0
nearly_defective,6,7,0.11,45032,0
nearly_defective,6,8,0.12,45520,0
nearly_defective,6,9,0.14,48216,0
nearly_defective,8,0,0.18,52684,0
nearly_defective,8,1,0.20,54352,0
nearly_defective,8,2,0.22,56524,0
nearly_defective,8,3,0.18,51704,0
nearly_defective,8,4,0.22,57484,0
nearly_defective,8,5,0.20,54760,0
nearly_defective,8,6,0.23,56592,0
nearly_defective,8,7,0.20,54740,0
nearly_defective,8,8,0.23,58552,0
nearly_defective,8,9,0.21,54948,0
nearly_reducible,10,0,0.31,68428,0
nearly_reducible,10,1,0.32,68240,0
nearly_reducible,10,2,0.31,67776,0
nearly_reducible,10,3,0.31,68060,0
nearly_reducible,10,4,0.31,67740,0
nearly_reducible,10,5,0.31,67268,0
nearly_reducible,10,6,0.31,68048,0
